Title,Artist,Release Date,Year,Popularity,Track ID,Valence,Energy,Danceability,Loudness,Acousticness,Spotify_Link,Cluster,Mood
M a k e I t T o T h e M o r n i n g,PARTYNEXTDOOR,4/26/2024,2024,74,12VH4g5pTMZmrUVzfJq7F7,0.0903,0.622,0.677,-5.901,0.0831,https://open.spotify.com/track/12VH4g5pTMZmrUVzfJq7F7,0,Anxious
Shut up My Moms Calling,Hotel Ugly,2/10/2020,2020,86,3hxIUxnT27p5WcmjGUXNwx,0.376,0.409,0.485,-10.711,0.325,https://open.spotify.com/track/3hxIUxnT27p5WcmjGUXNwx,2,Sad
Not You Too (feat. Chris Brown),Drake,5/1/2020,2020,73,3Q4gttWQ6hxqWOa3tHoTNi,0.316,0.452,0.458,-9.299,0.342,https://open.spotify.com/track/3Q4gttWQ6hxqWOa3tHoTNi,2,Sad
2 soon,keshi,8/21/2018,2018,67,5SlU0Yhi51jobhEiGE4xDv,0.146,0.663,0.516,-6.688,0.146,https://open.spotify.com/track/5SlU0Yhi51jobhEiGE4xDv,0,Anxious
Lost Me,Giveon,6/24/2022,2022,69,6TSO4hwz9WGrEUY7ABGVim,0.2,0.443,0.428,-8.955,0.525,https://open.spotify.com/track/6TSO4hwz9WGrEUY7ABGVim,2,Sad
it kills me,demxntia,7/21/2018,2018,58,5QWGib8UBj4U9ybzmpuTUv,0.24,0.449,0.534,-10.688,0.44,https://open.spotify.com/track/5QWGib8UBj4U9ybzmpuTUv,2,Sad
Rehab (Winter In Paris),Brent Faiyaz,2/7/2020,2020,72,0zWbYGQq5O1KQd0iqzgjP6,0.286,0.242,0.549,-11.692,0.809,https://open.spotify.com/track/0zWbYGQq5O1KQd0iqzgjP6,2,Sad
Easily,Bruno Major,8/31/2017,2017,67,0RnxpSzxzwZgFQ0NahQr9K,0.357,0.256,0.773,-8.545,0.491,https://open.spotify.com/track/0RnxpSzxzwZgFQ0NahQr9K,2,Sad
None Of Your Concern (feat. Big Sean),Jhené Aiko,3/6/2020,2020,61,75MSZRbAbQuzfUV3Pefvut,0.378,0.517,0.456,-9.33,0.856,https://open.spotify.com/track/75MSZRbAbQuzfUV3Pefvut,0,Anxious
Heart Of A Woman,Summer Walker,10/25/2024,2024,57,2oVVaVY0LkzwAYYcyzon6Z,0.472,0.43,0.716,-8.28,0.482,https://open.spotify.com/track/2oVVaVY0LkzwAYYcyzon6Z,2,Sad
Attention,Bryson Tiller,4/5/2024,2024,66,7tr8SXmP9j0uVqUU0qoapb,0.496,0.731,0.568,-5.482,0.0735,https://open.spotify.com/track/7tr8SXmP9j0uVqUU0qoapb,0,Anxious
VIBES DON'T LIE,Leon Thomas,9/27/2024,2024,60,1WwrfoGe0K33z1tVI6mevJ,0.208,0.637,0.584,-8.061,0.219,https://open.spotify.com/track/1WwrfoGe0K33z1tVI6mevJ,0,Anxious
When He's Not There (feat. Lucky Daye),Kehlani,8/28/2024,2024,58,0uYBQGchK3LIkNpxnrA6k7,0.605,0.606,0.724,-5.544,0.0952,https://open.spotify.com/track/0uYBQGchK3LIkNpxnrA6k7,1,Calm
PUSH 2 START,Tyla,10/11/2024,2024,73,1Cbl3Yq8rHo7hhDQmLQagU,0.758,0.814,0.683,-3.505,0.277,https://open.spotify.com/track/1Cbl3Yq8rHo7hhDQmLQagU,3,Happy
Wait On It (feat. Bryson Tiller & Chris Brown),Jeremih,6/28/2024,2024,67,6NCtzHANN8GwvxdrSzJBB9,0.539,0.63,0.621,-5.764,0.0227,https://open.spotify.com/track/6NCtzHANN8GwvxdrSzJBB9,0,Anxious
BUTTERFLIES,Isaiah Falls,10/11/2024,2024,58,0quwQM9YgpwBsNnCyZ8aaA,0.453,0.483,0.544,-10.495,0.701,https://open.spotify.com/track/0quwQM9YgpwBsNnCyZ8aaA,1,Calm
Jealousy,Jordan Ward,9/20/2024,2024,55,1y5n54EBmBwDyjnOk9bzzB,0.748,0.477,0.742,-9.561,0.781,https://open.spotify.com/track/1y5n54EBmBwDyjnOk9bzzB,1,Calm
MUTT,Leon Thomas,9/27/2024,2024,67,2uvE4L5ZsYKpv8hbK4TIOt,0.597,0.455,0.572,-8.078,0.216,https://open.spotify.com/track/2uvE4L5ZsYKpv8hbK4TIOt,1,Calm
Soh-Soh,Odeal,7/5/2024,2024,69,1I08zQMc1sHy2xwd8itedV,0.679,0.549,0.776,-14.509,0.0578,https://open.spotify.com/track/1I08zQMc1sHy2xwd8itedV,1,Calm
Baddest In The Room,Fridayy,6/21/2024,2024,66,6bAhP5wDZy04YjQ1NTcyO5,0.757,0.546,0.432,-6.29,0.519,https://open.spotify.com/track/6bAhP5wDZy04YjQ1NTcyO5,1,Calm
Most Beautiful Design (feat. London On Da Track & Future),Coco Jones,10/18/2024,2024,65,4trOnPnDeFU0jU8qa5i9xX,0.396,0.72,0.418,-5.255,0.317,https://open.spotify.com/track/4trOnPnDeFU0jU8qa5i9xX,0,Anxious
SOS (Sex on Sight) (feat. USHER),Victoria Monét,10/4/2024,2024,53,2XPR95FpM7Wi99ZBn4Ws5C,0.415,0.466,0.642,-8.871,0.229,https://open.spotify.com/track/2XPR95FpM7Wi99ZBn4Ws5C,2,Sad
Please Don't Fall In Love With Me,Khalid,4/5/2024,2024,65,7jEpRsSusmGqKFISucMnV7,0.223,0.578,0.665,-5.856,0.374,https://open.spotify.com/track/7jEpRsSusmGqKFISucMnV7,0,Anxious
Ruined Me,Muni Long,7/26/2024,2024,62,6EPxltlaBzRzoe2tQtsyvb,0.532,0.464,0.708,-7.686,0.0733,https://open.spotify.com/track/6EPxltlaBzRzoe2tQtsyvb,1,Calm
Residuals,Chris Brown,4/11/2024,2024,70,4t4rGgiVX7woTmlnW9SHJ7,0.171,0.645,0.58,-7.793,0.342,https://open.spotify.com/track/4t4rGgiVX7woTmlnW9SHJ7,0,Anxious
S.I.N.G.L.E.,Kehlani,8/28/2024,2024,54,0rNDm3uRDxLCnBlpU83Lkt,0.472,0.699,0.724,-4.649,0.627,https://open.spotify.com/track/0rNDm3uRDxLCnBlpU83Lkt,0,Anxious
Here We Go (Uh Oh),Coco Jones,5/3/2024,2024,64,6SSSGEgfuqTP75xaNOwsTo,0.474,0.749,0.401,-2.341,0.322,https://open.spotify.com/track/6SSSGEgfuqTP75xaNOwsTo,0,Anxious
Take Your Time (feat. 6LACK),Sasha Keable,9/26/2024,2024,61,36zutQQkUnFPbLYIcVxJi8,0.44,0.557,0.735,-5.834,0.352,https://open.spotify.com/track/36zutQQkUnFPbLYIcVxJi8,0,Anxious
YES IT IS,Leon Thomas,9/27/2024,2024,60,2iksjpqL3eraxCBKqNHuqd,0.293,0.642,0.755,-6.105,0.593,https://open.spotify.com/track/2iksjpqL3eraxCBKqNHuqd,0,Anxious
Smoke,Ari Lennox,10/18/2024,2024,50,6Z0yKCHpLXoDVqFSlWh9OM,0.761,0.814,0.688,-4.614,0.0196,https://open.spotify.com/track/6Z0yKCHpLXoDVqFSlWh9OM,3,Happy
Ciao!,Bryson Tiller,4/5/2024,2024,66,0oMlowcYGs70fDAfRf8eKJ,0.467,0.72,0.43,-5.048,0.00176,https://open.spotify.com/track/0oMlowcYGs70fDAfRf8eKJ,0,Anxious
roll da dice,4batz,9/20/2024,2024,68,1zV2mbt3vg6yVr6Sb1PFjz,0.371,0.486,0.72,-13.581,0.519,https://open.spotify.com/track/1zV2mbt3vg6yVr6Sb1PFjz,2,Sad
Burning,Tems,6/6/2024,2024,67,1D1M805zV8DwhYXsvJdQZx,0.419,0.293,0.831,-8.047,0.378,https://open.spotify.com/track/1D1M805zV8DwhYXsvJdQZx,2,Sad
